wars,from,to,duration,notes,participation, number_participants,who,where,fatalities,url_source,memorials,links
Indian Govt vs Communist Rebels CPI,1948,1951,3,,India,1,Asia,Asia,"4,000",Indian Govt vs Communist Rebels CPI,,http://www.war-memorial.net/Indian-Govt-vs-Communist-Rebels-CPI-3.318
Soviet Union vs Baltic Partisans,1945,1951,6,,"Soviet Union, Latvia, Estonia, Lithuania",4,"Asia, Euope",Europe,"32,400",Soviet Union vs Baltic Partisans,,http://www.war-memorial.net/Soviet-Union-vs-Baltic-Partisans-(%E2%80%99%E2%80%99Forest-Brethren%E2%80%99%E2%80%99)-3.302
Indonesian Govt vs Republic of South Moluccas,1950,1950,0,,Indonesia,1,Asia,Asia,"1,000",Indonesian Govt vs Republic of South Moluccas,,http://www.war-memorial.net/Indonesian-Govt-vs-Republic-of-South-Moluccas-3.323
Third Sino-Tibetan War,1950,1950,0,,China,1,Asia,Asia,"4,000",Third Sino-Tibetan War,,http://www.war-memorial.net/Third-Sino-Tibetan-War-3.97
Arab-Israeli War,1948,1949,1,,"Israel, Jordan, Egypt, Syria, Lybia, Iraq",6,"Asia, Africa",Asia,"21,111",Arab-Israeli War,[1],http://www.war-memorial.net/Arab-Israeli-War-3.91
Cheju Rebellion in South Korea,1948,1949,1,,South Korea,1,Asia,Asia,"17,000",Cheju Rebellion in South Korea,[1],http://www.war-memorial.net/Cheju-Rebellion-in-South-Korea-3.308
Chinese Civil War,1946,1949,3,,China,1,Asia,Asia,"1,200,000",Chinese Civil War,[1],http://www.war-memorial.net/Chinese-Civil-War-3.95
Greece Civil War,1946,1949,3,,Greece,1,Europe,Europe,"154,000",Greece Civil War,,http://www.war-memorial.net/Greece-Civil-War-3.92
Costa Rican Civil War,1948,1948,0,,Costa Rica,1,South America,South America,"2,000",Costa Rican Civil War,,http://www.war-memorial.net/Costa-Rican-Civil-War-3.87
Yemeni Imamate War,1948,1948,0,,Yemen,1,Asia,Asia,"4,000",Yemeni Imamate War,,http://www.war-memorial.net/Yemeni-Imamate-War-3.89
First Kashmir War,1948,1948,0,,"India, Pakistan",2,Asia,Asia,"7,500",First Kashmir War,,http://www.war-memorial.net/First-Kashmir-War-3.94
Civil War in Mandatory Palestine,1947,1948,1,,"United Kingdom, Palestine",2,"Asia, Euope",Asia,"4,009",Civil War in Mandatory Palestine,[2],http://www.war-memorial.net/Civil-War-in-Mandatory-Palestine-3.265
Telangana Rebellion and Indo-Hyderabad War,1947,1948,1,,India,1,Asia,Asia,"4,360",Telangana Rebellion and Indo-Hyderabad War,,http://www.war-memorial.net/Telangana-Rebellion-and-Indo-Hyderabad-War-3.303
